COD_ID,NOME,tipo,SUB,SUB_NOME,UNI_TR_AT,TEN_NOM,TEN_NOM_kV,MUN,km_MT,ENE_MWh_ano,ENE_UC_MWh_ano,n_UNTRMT,kVA_instalado,n_UCBT,n_UCMT,n_DER,kW_DER,chaves_total,chaves_NA,chaves_NF,chaves_telecomandadas,NA_interligacao,NA_interligacao_telecomandada,NA_interligacao_SE,NA_interligacao_campo,NA_interligacao_campo_telecomandada,n_vizinhos,vizinhos,n_UNREMT,n_UNCRMT,lon_min,lat_min,lon_max,lat_max,score,n_clientes,CONJ_CODIGO,CONJ_NOME,ties_campo,ties_telecomandadas,ties_manuais,pares_ctmt_vizinho,grau,sem_socorro,alimentadores_socorro,subestacoes_socorro,subestacoes_socorro_nomes,conjuntos_socorro,conjuntos_socorro_nomes,chaves_campo,componente_id,tamanho_componente
MTO00002,LSA MATRIZ,LSA,29148432,SETD MATO ALTO,113095915,67,25.0,3304557,76.986,49255.842,21275.947,161,28925.0,9720,2,113,719.66,153,42,111,434909269;916893595;960125578;960168517;963054087;977348806;978761556;990977986,40,11,6,34,8,9,ESP016;MTO00001;MTO00004;MTO0003;PCI0005;PCI0015;PCI0016;STS001;STS004,0,0,-43.65177,-23.012706,-43.539798,-22.938133,330548,9722,16900,PACIENCIA,34,8,26,36,9,False,ESP016;MTO00001;MTO00004;MTO0003;PCI0005;PCI0015;PCI0016;STS001;STS004,18519958;18521136;29148432;450101398,SETD ESPERANCA;SETD MATO ALTO;SETD PACIENCIA;SETD SANTISSIMO,15042;16898;16899;16900,ESPERANCA AEREO AT/MT;MATO ALTO;PACIENCIA;SANTISSIMO AEREO,132234257;135213795;135518664;138537356;142453465;20684964;20711837;20816976;23262669;23407567;23651131;25197555;25635377;25635426;25679915;434909269;434909289;455241418;478231387;488614276;488614301;488614327;489112573;489438892;54904423;549436427;553307729;916893595;960125578;960168517;963054087;977348806;978761556;990977986,1,1097
STS004,LSA LETICIA,LSA,18521136,SETD SANTISSIMO,18915485,67,25.0,3304557,59.974,50962.785,32826.577,191,34377.5,12827,15,293,2001.76,169,39,130,504682415;998604111,36,3,6,30,2,15,CAM017;CHR0001;CHR0003;CHR002;CHR016;JAB00005;JAB00018;JAB00020;JAB002;JAB003;JAB012;MTO00002;STS001;STS002;STS003,0,0,-43.58467,-22.938122,-43.508761,-22.860702,385260,12842,15042,SANTISSIMO AEREO,30,2,28,30,15,False,CAM017;CHR0001;CHR0003;CHR002;CHR016;JAB00005;JAB00018;JAB00020;JAB002;JAB003;JAB012;MTO00002;STS001;STS002;STS003,18520488;18520749;18520758;18521136;29148432,SETD CACHAMORRA;SETD CAMARA;SETD JABOATAO;SETD MATO ALTO;SETD SANTISSIMO,14991;15011;15029;15042;16900,CACHAMORRA;CAMARA;JABOATAO AEREO;PACIENCIA;SANTISSIMO AEREO,20688037;20711837;20713685;20719040;20722666;20722715;20727160;20733439;20733502;20733530;20738374;20739760;20767401;20767464;20781040;20781047;20781117;20788022;20802742;20802798;20816108;20819979;25927767;29547962;335344240;504682415;518170006;789421898;807117418;998604111,1,1097
CAM007,LDA SUEZ,LDA,18520488,SETD CAMARA,18915100,46,13.2,3304557,9.177,21976.0,14486.641,67,7890.0,3755,5,77,981.094,61,28,33,1000755409;716982063,30,2,0,30,2,7,CAM003;CAM006;CAM011;CAM014;CAM019;PMG007;STS005,0,1,-43.483351,-22.888562,-43.444033,-22.876497,112800,3760,14991,CAMARA,30,2,28,31,7,False,CAM003;CAM006;CAM011;CAM014;CAM019;PMG007;STS005,18520479;18520488;18521136,SETD CAMARA;SETD PADRE MIGUEL;SETD SANTISSIMO,14991;15019;15042,CAMARA;PADRE MIGUEL;SANTISSIMO AEREO,1000755409;20680589;20680631;20680638;20680652;20680659;20680729;20805325;20805332;20805339;20805353;20805374;20805381;20805402;20805409;20805437;20805451;20805458;20805465;20805472;20805479;20805500;20805514;20805535;20805542;20805556;20805563;20805577;466976858;716982063,1,1097
STS001,LSA CAVADO,LSA,18521136,SETD SANTISSIMO,18915490,67,25.0,3304557,65.554,34027.789,27559.617,228,41157.0,13191,6,307,2043.74,246,65,181,740972740;756096174;978761556;997878462,40,5,12,28,4,18,CHR0007;CHR013;CHR014;CHR020;CHR06;ESP017;JAB003;JAB004;JAB013;MTO00001;MTO00002;MTO00004;MTO0003;STS002;STS003;STS004;STS005;STS006,0,2,-43.615962,-22.962824,-43.512636,-22.865292,369516,13197,15042,SANTISSIMO AEREO,28,4,24,30,17,False,CHR0007;CHR013;CHR014;CHR020;CHR06;ESP017;JAB003;JAB004;JAB013;MTO00001;MTO00002;MTO0003;STS002;STS003;STS004;STS005;STS006,18519958;18520749;18520758;18521136;29148432,SETD CACHAMORRA;SETD ESPERANCA;SETD JABOATAO;SETD MATO ALTO;SETD SANTISSIMO,15011;15029;15042;16898;16900,CACHAMORRA;JABOATAO AEREO;MATO ALTO;PACIENCIA;SANTISSIMO AEREO,135518664;20659404;20683347;20683431;20683459;20687995;20688037;20688114;20724983;20733439;20734272;20816976;23008307;23010353;23253911;25927767;29213480;29547962;478231387;502359645;740972740;756096174;775047989;778336685;807117418;811592965;978761556;997878462,1,1097
CSO005,LDA ALFAZEMA/ORQUIDEA,LDA,18520821,SETD COMENDADOR SOARES,18915240,46,13.2,3303500,33.1,48708.658,24194.191,154,16927.5,12912,6,114,802.72,88,26,62,1012198911;764413706;916618775;926396232,27,4,0,27,4,10,CRM0008;CSO00015;CSO002;CSO004;CSO006;CSO008;CSO010;CSO013;NIG030;QMD007,0,2,-43.533359,-22.772029,-43.474967,-22.732815,348786,12918,15048,COMENDADOR SOARES,27,4,23,27,10,False,CRM0008;CSO00015;CSO002;CSO004;CSO006;CSO008;CSO010;CSO013;NIG030;QMD007,18519976;18520821;18520893;280389625,SETD CARMARI;SETD COMENDADOR SOARES;SETD NOVA IGUACU;SETD QUEIMADOS,15048;15691;15692;15698,CARMARI;COMENDADOR SOARES;NOVA IGUACU;QUEIMADOS AEREO,1012198911;20661049;20661056;20661098;20661112;20661119;20661126;20661238;20671930;20671937;20671958;20703297;20709289;20712054;20721546;20748534;20802497;20802504;20802518;20802532;20819405;25472581;764413706;764413724;916618775;926396232;926396252,1,1097
NIG029,LSA TROPICAL,LSA,18519976,SETD NOVA IGUACU,18915395,67,25.0,3303500,50.176,51673.562,33724.017,188,29060.0,10214,7,86,718.89,140,42,98,111244739;464602373;986018423;987405364;989612474;990003231,36,8,9,27,6,10,ABR00019;ABR005;ABR017;CRM0004;CRM0009;NIG0004;NIG012;NIG026;NIG028;RFR007,0,0,-43.445983,-22.761473,-43.400786,-22.692186,275967,10221,15692,NOVA IGUACU,27,6,21,27,9,False,ABR00019;ABR005;ABR017;CRM0004;CRM0009;NIG012;NIG026;NIG028;RFR007,18519976;18520731;18520767;280389625,SETD AREIA BRANCA;SETD CARMARI;SETD NOVA IGUACU;SETD ROCHA FREIRE,14993;15054;15691;15692;15693,AREIA BRANCA AEREO;CARMARI;MERITI;NOVA IGUACU;ROCHA FREIRE AEREO AT/MT,111244739;130318629;20669627;20669641;20669648;20679252;20682297;20700112;20703472;20719691;20766155;20766211;20766358;20802063;20814155;20820931;20821148;29226970;295040762;440482830;464602373;520828207;782916515;986018423;987405364;989612474;990003231,1,1097
PDD9873,LDA SERPA/REIS,LDA,1231,SETD PIEDADE,1248189,46,13.2,3304557,15.548,38307.938,27924.7,141,16290.0,11423,9,86,741.55,96,26,70,730229122;869822754,28,2,3,25,2,13,CCD803;CCD826;PDD29513;PDD33543;PDD3356;PDD3800;PDD3984;PDD9870;PDD9896;TER29223;TER870;TER895;TER913,0,0,-43.316884,-22.899821,-43.282372,-22.871761,285800,11432,14998,PIEDADE,25,2,23,25,11,False,CCD803;CCD826;PDD29513;PDD33543;PDD3800;PDD3984;PDD9896;TER29223;TER870;TER895;TER913,1123;1186;1231,SETD CASCADURA;SETD PIEDADE;SETD TERRA NOVA,14998;15034;15044,CASCADURA AEREO;PIEDADE;TERRA NOVA AEREO,136880196;14909013;1553962;1554018;1554067;1582363;1589958;1589979;1593318;1600171;1600192;1600206;1600220;1600283;1600339;1600493;1600500;1600514;1600577;1600584;1600598;1607262;1626071;730229122;869822754,1,1097
QMD008,LSA CAMPONEZA,LSA,18520893,SETD QUEIMADOS,18915300,67,25.0,3304144,100.646,48108.525,19064.563,226,27610.0,7207,14,33,491.095,189,38,151,110231356;628560015;632317272,36,7,11,25,3,9,QMD001;QMD002;QMD003;QMD004;QMD005;QMD006;RFR006;SRD003;SRD004,0,0,-43.687978,-22.742755,-43.556571,-22.637193,180525,7221,15043,SEROPEDICA AEREO,25,3,22,25,5,False,QMD002;QMD003;QMD004;RFR006;SRD003,18520767;18520893;18521154,SETD QUEIMADOS;SETD ROCHA FREIRE;SETD SEROPEDICA,15043;15693;15698,QUEIMADOS AEREO;ROCHA FREIRE AEREO AT/MT;SEROPEDICA AEREO,110231356;127128201;127484651;127484663;20660475;20660489;20668262;20668311;20683011;20683109;20683130;20683151;20683270;20696241;20714700;20729127;20738822;30050891;449504525;483023550;628560015;632317272;673670001;693047578;803034051,1,1097
CSO002,LDA HORTENCIA/CENTAUREA,LDA,18520821,SETD COMENDADOR SOARES,18915350,46,13.2,3303500,27.043,39949.077,18115.262,136,14835.0,8998,9,102,841.43,94,22,72,702760414;865584629,24,2,0,24,2,12,CSO00017;CSO004;CSO005;CSO007;CSO010;CSO011;CSO013;CSO014;NIG009;NIG017;NIG030;STC00005,0,1,-43.519765,-22.756109,-43.455928,-22.732484,216168,9007,15048,COMENDADOR SOARES,24,2,22,24,12,False,CSO00017;CSO004;CSO005;CSO007;CSO010;CSO011;CSO013;CSO014;NIG009;NIG017;NIG030;STC00005,18519976;18520821;34192093,SETD COMENDADOR SOARES;SETD NOVA IGUACU;SETD SANTA CLARA,15048;15052;15692,COMENDADOR SOARES;NOVA IGUACU;SANTA CLARA AEREO,132315566;134337932;137884853;154833349;157868994;20661049;20661238;20678524;20678545;20689339;20689360;20709303;20715603;20715729;20737464;20757829;20757836;20757885;20803540;20817123;697096643;702760414;775672559;865584629,1,1097
RTO00014,LDA LUXEMBURGO,LDA,18520875,SETD RETIRO,18915280,46,13.2,3306305,15.613,15555.078,12403.339,56,5107.5,4897,3,58,399.57,93,22,71,680732185;708282453;711077813,24,4,1,23,3,8,FTL006;RTO001;RTO008;RTO010;RTO011;RTO013;RTO014;VRD007,0,8,-44.13633,-22.544017,-44.116891,-22.496849,112700,4900,14995,RETIRO,23,3,20,24,8,False,FTL006;RTO001;RTO008;RTO010;RTO011;RTO013;RTO014;VRD007,18520470;18520875;18521064,SETD FONTINELE;SETD RETIRO;SETD VOLTA REDONDA,14995;15007,FONTINELE;RETIRO,158985367;158985399;20678251;20680169;20701407;20701484;20701491;20701498;20701505;20701519;20701561;20701568;20701645;20719509;20719628;20737744;226023310;277886251;30779907;680732185;708282453;708282498;711077813,1,1097
